 title=Umag
 variables=x,y,Umag
 zone i=          21 ,j=          21
   9.2105263157894728E-003   9.2105263157894728E-003   3.0101120106646620E+046
   1.1842105263157893E-002   9.2105263157894728E-003   2.3190202406284038E+053
   1.4473684210526314E-002   9.2105263157894728E-003   7.3708866024711779E+047
   1.7105263157894735E-002   9.2105263157894728E-003   6.0792242056008164E+034
   1.9736842105263157E-002   9.2105263157894728E-003   2.2743093914266330E+034
   2.2368421052631579E-002   9.2105263157894728E-003   3.1579436093828960E+034
   2.5000000000000001E-002   9.2105263157894728E-003   3.0392528264826758E+039
   2.7631578947368424E-002   9.2105263157894728E-003   2.0006770612546233E+040
   3.0263157894736846E-002   9.2105263157894728E-003   2.7129683043119438E+039
   3.2894736842105268E-002   9.2105263157894728E-003   6.0233709887653356E+038
   3.5526315789473691E-002   9.2105263157894728E-003   1.6424933066320171E+038
   3.8157894736842113E-002   9.2105263157894728E-003   4.9149605025866969E+086
   4.0789473684210535E-002   9.2105263157894728E-003   2.5873216278035079E+150
   4.3421052631578957E-002   9.2105263157894728E-003                  Infinity
   4.6052631578947380E-002   9.2105263157894728E-003                  Infinity
   4.8684210526315802E-002   9.2105263157894728E-003                  Infinity
   5.0000000000000003E-002   9.2105263157894728E-003   0.0000000000000000     
   0.0000000000000000        1.1842105263157893E-002   0.0000000000000000     
   1.3157894736842105E-003   1.1842105263157893E-002   1.1651492780204257E+018
   3.9473684210526317E-003   1.1842105263157893E-002   1.7935833347509601E+044
   6.5789473684210523E-003   1.1842105263157893E-002   1.9023196665645185E+048
   9.2105263157894728E-003   1.1842105263157893E-002   8.9484037598784818E+041
   1.1842105263157893E-002   1.1842105263157893E-002   3.3975706651630763E+048
   1.4473684210526314E-002   1.1842105263157893E-002   3.9431831371429452E+034
   1.7105263157894735E-002   1.1842105263157893E-002   1.3652247776586582E+034
   1.9736842105263157E-002   1.1842105263157893E-002   1.0585047418363614E+034
   2.2368421052631579E-002   1.1842105263157893E-002   1.4374646469260193E+034
   2.5000000000000001E-002   1.1842105263157893E-002   6.0231430754463273E+038
   2.7631578947368424E-002   1.1842105263157893E-002   2.7545042724316203E+039
   3.0263157894736846E-002   1.1842105263157893E-002   9.7099272397928906E+038
   3.2894736842105268E-002   1.1842105263157893E-002   3.9169307510554858E+038
   3.5526315789473691E-002   1.1842105263157893E-002   2.8391354270276653E+102
   3.8157894736842113E-002   1.1842105263157893E-002                  Infinity
   4.0789473684210535E-002   1.1842105263157893E-002                  Infinity
   4.3421052631578957E-002   1.1842105263157893E-002                  Infinity
   4.6052631578947380E-002   1.1842105263157893E-002                  Infinity
   4.8684210526315802E-002   1.1842105263157893E-002                  Infinity
   5.0000000000000003E-002   1.1842105263157893E-002   0.0000000000000000     
   0.0000000000000000        1.4473684210526314E-002   0.0000000000000000     
   1.3157894736842105E-003   1.4473684210526314E-002   2.6840208221450093E+041
